"Lote","Item","Posição","Razão Social","Documento","Lance","Marca","Modelo","ME","Classificado","Habilitado"
"1","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","1","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","FORMAS DIVERTIDAS – CÍRCULO","SIM","SIM","SIM"
"1","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","2","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","FORMAS DIVERTIDAS – ESTRELA","SIM","SIM","SIM"
"1","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","3","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","FORMAS DIVERTIDAS – QUADRADO","SIM","SIM","SIM"
"1","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","4","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","FORMAS DIVERTIDAS – TRIÂNGULO","SIM","SIM","SIM"
"1","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","5","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","GRANDES AMIGOS – LILI","SIM","SIM","SIM"
"1","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","6","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","GRANDES AMIGOS – LOLA","SIM","SIM","SIM"
"1","7","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","9172,8000","BLU EDITORA","IMPRESSO/ FISICO","SIM","SIM","SIM"
"1","7","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","9350,0000","BLU EDITORA","GRANDES AMIGOS – PEPI","SIM","SIM","SIM"
"2","1","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","1","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","ANIMAIS DA FAZENDA","SIM","SIM","SIM"
"2","1","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","2","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","2","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","ANIMAIS DA SELVA","SIM","SIM","SIM"
"2","2","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","3","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","3","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","ANIMAIS DE ESTIMAÇÃO","SIM","SIM","SIM"
"2","3","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","4","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","4","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","ANIMAIS DO MAR","SIM","SIM","SIM"
"2","4","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","5","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
"2","5","2","EDUARDO J. SANTOS & CIA LTDA","66143678000131","29550,0000","CIRANDA CULTURAL","ANIMAIS DE ESTIMAÇÃO","SIM","SIM","SIM"
"2","5","3","UNILER DIGITAL LTDA","46586795000162","32565,4600","Ciranda Cultural","Ciranda Cultural","SIM","SIM","SIM"
"2","6","1","SONAR EDITORA E COMERCIO DE LIVROS LTDA","11491749000103","27864,0000","CIRANDA CULTURAL","IMPRESSO/ FISICO","SIM","SIM","SIM"
