Lote/Item;Razão Social;CNPJ;Valor Uni.;Valor Total;Situação;Valor Total Estimado;ME/EPP
001;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;27,50;2.200,00;Classificada/Habilitada;2.200,00;NÃO
002;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;36,00;1.800,00;Classificada/Habilitada;1.800,00;NÃO
003;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;290,00;5.800,00;Classificada/Habilitada;5.800,00;NÃO
004;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;780,00;15.600,00;Classificada/Habilitada;3.734,00;NÃO
005;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;280,00;5.600,00;Classificada/Habilitada;5.600,00;NÃO
006;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;150,00;6.000,00;Classificada/Habilitada;1.600,00;NÃO
007;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;84,00;1.680,00;Classificada/Habilitada;558,00;NÃO
008;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;84,00;8.400,00;Classificada/Habilitada;4.200,00;NÃO
009;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;42,00;8.400,00;Classificada/Habilitada;3.180,00;NÃO
010;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;36,00;3.600,00;Classificada/Habilitada;2.046,00;NÃO
011;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;57,00;1.710,00;Classificada/Habilitada;738,00;NÃO
012;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;29,90;897,00;Classificada/Habilitada;897,00;NÃO
013;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;82,60;2.478,00;Classificada/Habilitada;2.479,50;NÃO
014;MEIRI MITIKO SUZUKI NAKAMURA EPP;03.688.940/0001-03;35,20;528,00;Classificada/Habilitada;528,00;NÃO
;;Total:;64.693,00;;;;
007;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;27,90;558,00;Classificada/Habilitada;558,00;NÃO
008;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;42,00;4.200,00;Classificada/Habilitada;4.200,00;NÃO
009;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;15,90;3.180,00;Classificada/Habilitada;3.180,00;NÃO
010;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;20,46;2.046,00;Classificada/Habilitada;2.046,00;NÃO
011;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;24,60;738,00;Classificada/Habilitada;738,00;NÃO
012;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;29,90;897,00;Classificada/Habilitada;897,00;NÃO
013;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;82,65;2.479,50;Classificada/Habilitada;2.479,50;NÃO
014;PHS PIMENTEL INFORMATICA LTDA;07.696.853/0001-59;35,20;528,00;Classificada/Habilitada;528,00;NÃO
;;;Total:;14.626,50;;;
